#SampleID	original-sample-ids	StudyID	Timepoint	Remission	Breed_Strain	Sex	DogName	Description	Timepoint2
Daphne_d42_DogFecal	"(11731, 12189)"	C166_24	42	Diet	Husky	F	Daphne	DogFecal	Day42
Georgio_d0_DogFecal	11700	C166_32	0	Diet	Greyhound	M	Georgio	DogFecal	Day0
Georgio_d14_DogFecal	11701	C166_32	14	Diet	Greyhound	M	Georgio	DogFecal	Day14
Georgio_d28_DogFecal	11794	C166_32	28	Diet	Greyhound	M	Georgio	DogFecal	Day28
Georgio_d42_DogFecal	11702	C166_32	42	Diet	Greyhound	M	Georgio	DogFecal	Day42
Gunner_d0_DogFecal	"(11703, 12193)"	C166_33	0	Diet	"(German_Shepherd, German Shepherd)"	M	Gunner	DogFecal	Day0
Gunner_d14_DogFecal	"(11704, 12194)"	C166_33	14	Diet	"(German_Shepherd, German Shepherd)"	M	Gunner	DogFecal	Day14
Gunner_d28_DogFecal	"(11792, 12195)"	C166_33	28	Diet	"(German_Shepherd, German Shepherd)"	M	Gunner	DogFecal	Day28
Gunner_d42_DogFecal	"(11705, 12196)"	C166_33	42	Diet	"(German_Shepherd, German Shepherd)"	M	Gunner	DogFecal	Day42
Hera_d0_DogFecal	"(12755, 12631)"	C166_42	0	Diet	Doberman Pinscher	FS	Hera	DogFecal	Day0
Hera_d14_DogFecal	12632	C166_42	14	Diet	Doberman Pinscher	FS	Hera	DogFecal	Day14
Hera_d42_DogFecal	12633	C166_42	42	Diet	Doberman Pinscher	FS	Hera	DogFecal	Day42
Jack_d14_DogFecal	12645	C166_35	14	Diet	Yorkshire Terrier	MC	Jack	DogFecal	Day14
Jack_d42_DogFecal	12646	C166_35	42	Diet	Yorkshire Terrier	MC	Jack	DogFecal	Day42
Juniata_d0_DogFecal	"(11706, 12641)"	C166_34	0	Diet	Greyhound	FS	Juniata	DogFecal	Day0
Juniata_d14_DogFecal	"(11707, 12201, 12642)"	C166_34	14	Diet	Greyhound	FS	Juniata	DogFecal	Day14
Juniata_d28_DogFecal	11793	C166_34	28	Diet	Greyhound	FS	Juniata	DogFecal	Day28
Juniata_d42_DogFecal	"(11708, 12202)"	C166_34	42	Diet	Greyhound	FS	Juniata	DogFecal	Day42
Maude_d0_DogFecal	10905	C166_21	0	Diet	Amer_Pit_Bull_Terrier	F	Maude	DogFecal	Day0
Maude_d14_DogFecal	10906	C166_21	14	Diet	Amer_Pit_Bull_Terrier	F	Maude	DogFecal	Day14
Maude_d28_DogFecal	10907	C166_21	28	Diet	Amer_Pit_Bull_Terrier	F	Maude	DogFecal	Day28
Maude_d42_DogFecal	10908	C166_21	42	Diet	Amer_Pit_Bull_Terrier	F	Maude	DogFecal	Day42
Opie_d0_DogFecal	12231	C166_40	0	Diet	Mix	MC	Opie	DogFecal	Day0
Opie_d14_DogFecal	12235	C166_40	14	Diet	Mix	MC	Opie	DogFecal	Day14
Opie_d28_DogFecal	12233	C166_40	28	Diet	Mix	MC	Opie	DogFecal	Day28
Opie_d42_DogFecal	12237	C166_40	42	Diet	Mix	MC	Opie	DogFecal	Day42
Paisley_d0_DogFecal	10892	C166_20	0	Diet	Amer_Pit_Bull_Terrier	F	Paisley	DogFecal	Day0
Paisley_d14_DogFecal	10893	C166_20	14	Diet	Amer_Pit_Bull_Terrier	F	Paisley	DogFecal	Day14
Paisley_d28_DogFecal	10903	C166_20	28	Diet	Amer_Pit_Bull_Terrier	F	Paisley	DogFecal	Day28
Paisley_d42_DogFecal	10904	C166_20	42	Diet	Amer_Pit_Bull_Terrier	F	Paisley	DogFecal	Day42
Sadie_d0_DogFecal	11696	C166_31	0	Diet	Labrador_Retriever	F	Sadie	DogFecal	Day0
Sadie_d14_DogFecal	"(11697, 12211)"	C166_31	14	Diet	Labrador_Retriever	F	Sadie	DogFecal	Day14
Sadie_d28_DogFecal	11868	C166_31	28	Diet	Labrador_Retriever	F	Sadie	DogFecal	Day28
Sadie_d42_DogFecal	"(11698, 12212)"	C166_31	42	Diet	Labrador_Retriever	F	Sadie	DogFecal	Day42
Skyy_d0_DogFecal	"(10810, 10911, 11530)"	C166_11	0	Diet	Irish_setter	M	Skyy	DogFecal	Day0
Skyy_d14_DogFecal	"(10813, 10843, 10912, 11108, 11533, 11546, 12637)"	C166_11	14	Diet	"(Irish_setter, Irish_setter, Irish_setter, Irish_setter, Irish_setter, Irish_setter, Irish Setter)"	"(M, M, M, M, M, M, MN)"	Skyy	DogFecal	Day14
Skyy_d28_DogFecal	10844	C166_11	28	Diet	Irish_setter	M	Skyy	DogFecal	Day28
Skyy_d35_DogFecal	10853	C166_11	35	Diet	Irish_setter	M	Skyy	DogFecal	Day35
Skyy_d42_DogFecal	10857	C166_11	42	Diet	Irish_setter	M	Skyy	DogFecal	Day42
Sophie_d0_DogFecal	12230	C166_39	0	Diet	Pomeranian	FS	Sophie	DogFecal	Day0
Sophie_d14_DogFecal	12234	C166_39	14	Diet	Pomeranian	FS	Sophie	DogFecal	Day14
Sophie_d28_DogFecal	12229	C166_39	28	Diet	Pomeranian	FS	Sophie	DogFecal	Day28
Sophie_d42_DogFecal	12232	C166_39	42	Diet	Pomeranian	FS	Sophie	DogFecal	Day42
Squirrel_d0_DogFecal	"(10656, 10885)"	C166_18	0	Diet	Bouvier	F	Squirrel	DogFecal	Day0
Squirrel_d14_DogFecal	10696	C166_18	14	Diet	Bouvier	F	Squirrel	DogFecal	Day14
Squirrel_d28_DogFecal	10713	C166_18	28	Diet	Bouvier	F	Squirrel	DogFecal	Day28
Squirrel_d42_DogFecal	10891	C166_18	42	Diet	Bouvier	F	Squirrel	DogFecal	Day42
Stella_d0_DogFecal	10850	C166_13	0	Diet	Mixed	F	Stella	DogFecal	Day0
Stella_d14_DogFecal	10851	C166_13	14	Diet	Mixed	F	Stella	DogFecal	Day14
Stella_d28_DogFecal	10852	C166_13	28	Diet	Mixed	F	Stella	DogFecal	Day28
Stella_d42_DogFecal	"(10705, 10842)"	C166_13	42	Diet	Mixed	F	Stella	DogFecal	Day42
Yukon_d0_DogFecal	"(10909, 11699)"	C166_23	0	Diet	Husky	M	Yukon	DogFecal	Day0
Yukon_d14_DogFecal	"(11709, 12219)"	C166_23	14	Diet	Husky	M	Yukon	DogFecal	Day14
Yukon_d28_DogFecal	"(11718, 12220)"	C166_23	28	Diet	Husky	M	Yukon	DogFecal	Day28
Yukon_d42_DogFecal	"(11719, 12221)"	C166_23	42	Diet	Husky	M	Yukon	DogFecal	Day42
Zeus_d0_DogFecal	"(11720, 12752)"	C166_27	0	Diet	Labrador	M	Zeus	DogFecal	Day0
Zeus_d14_DogFecal	"(11721, 12640)"	C166_27	14	Diet	Labrador	"(M, MN)"	Zeus	DogFecal	Day14
Zeus_d28_DogFecal	"(11722, 12222)"	C166_27	28	Diet	Labrador	M	Zeus	DogFecal	Day28
Zeus_d42_DogFecal	11723	C166_27	42	Diet	Labrador	M	Zeus	DogFecal	Day42
Ziggy_d0_DogFecal	"(11724, 12223)"	C166_25	0	Diet	Goldendoodle	M	Ziggy	DogFecal	Day0
Ziggy_d14_DogFecal	"(11725, 12224)"	C166_25	14	Diet	Goldendoodle	M	Ziggy	DogFecal	Day14
Ziggy_d28_DogFecal	"(11726, 12225)"	C166_25	28	Diet	Goldendoodle	M	Ziggy	DogFecal	Day28
Ziggy_d42_DogFecal	"(11727, 12226)"	C166_25	42	Diet	Goldendoodle	M	Ziggy	DogFecal	Day42
Bazooka_dNA_DogFecal	12625	C166_control_6	Healthy	Healthy	Unknown	Unknown	NABazooka	DogFecal	Healthy
Charlie_dNA_DogFecal	12626	C166_control_7	Healthy	Healthy	Unknown	Unknown	Charlie	DogFecal	Healthy
Charlotte_dNA_DogFecal	12622	C166_control_3	Healthy	Healthy	Unknown	Unknown	Charlotte	DogFecal	Healthy
Chestnut_dNA_DogFecal	12621	C166_control_2	Healthy	Healthy	Unknown	Unknown	Chestnut	DogFecal	Healthy
Crash_dNA_DogFecal	12624	C166_control_5	Healthy	Healthy	Unknown	Unknown	Crash	DogFecal	Healthy
Josie_dNA_DogFecal	12629	C166_control_10	Healthy	Healthy	Unknown	Unknown	Josie	DogFecal	Healthy
Korra_dNA_DogFecal	12628	C166_control_9	Healthy	Healthy	Unknown	Unknown	Korra	DogFecal	Healthy
Lily_dNA_DogFecal	12620	C166_control_1	Healthy	Healthy	Unknown	Unknown	Lily	DogFecal	Healthy
Lizzie_dNA_DogFecal	"(12627, 12753)"	C166_control_8	Healthy	Healthy	Unknown	Unknown	Lizzie	DogFecal	Healthy
Penny_dNA_DogFecal	"(12630, 12754)"	C166_control_11	Healthy	Healthy	Unknown	Unknown	Penny	DogFecal	Healthy
Sarabi_dNA_DogFecal	12623	C166_control_4	Healthy	Healthy	Unknown	Unknown	Sarabi	DogFecal	Healthy
