SampleID	SampleDescription	StudyID	Timepoint	Remission	Breed_Strain	Sex	DogName	Description	Timepoint2	Comments	CCECAI	AlphamuricholicAcid	BetamuricholicAcid	ChenodeoxycholicAcid_primary	CholicAcid_primary	DeoxycholicAcid	GammamuricholicAcid	GlycochenodeoxycholicAcid	GlycocholicAcid	GlycodeoxycholicAcid	LithocholicAcid	OmegamuricholicAcid	TaurochenodeoxycholicAcid	TaurocholicAcid	TaurodeoxycholicAcid	TaurolithocholicAcid	His	Ser	Arg	Gly	Asp	Glu	Thr	Ala	Pro	Cys	Lys	Tyr	Met	Val	Ile	Leu	Phe	AceticAcid	PropionicAcid	IsobutyricAcid	ButyricAcid	IsovalericAcid	ValericAcid	IsocaproicAcid	CaproicAcid	HeptanoicAcid
11553	Bandit_d28_DogFecal	C166_01	28	Complex	Mixed	M	Bandit	DogFecal	Day28	Normal	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12227	Bandit_d28_DogFecal	C166_01	28	Complex	Mixed	M	Bandit	DogFecal	Day28	Normal	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10807	Bandit_d42_DogFecal	C166_01	42	Complex	Mixed	M	Bandit	DogFecal	Day42	Normal	1	19.00535	7.79353	389.89209	1073.18553	0.5	41.93865	0.28917	3.29025	0.27885	0.5	0.5	6.9747	20.08393	0.22708	0.5	37.74	7.34	32.02	58.88	8.97	89.5	52.33	405.96	18.01	1.58	12.42	9.59	66.19	299.82	117.85	206.85	127.01	29.45	126.17	0.5	0.5	3.54	0.5	8.58	0.5	0.5
10946	Bandit_d42_DogFecal	C166_01	42	Complex	Mixed	M	Bandit	DogFecal	Day42	Normal	1	19.00535	7.79353	389.89209	1073.18553	0.5	41.93865	0.28917	3.29025	0.27885	0.5	0.5	6.9747	20.08393	0.22708	0.5	37.74	7.34	32.02	58.88	8.97	89.5	52.33	405.96	18.01	1.58	12.42	9.59	66.19	299.82	117.85	206.85	127.01	29.45	126.17	0.5	0.5	3.54	0.5	8.58	0.5	0.5
11517	Bandit_d42_DogFecal	C166_01	42	Complex	Mixed	M	Bandit	DogFecal	Day42	Normal	1	19.00535	7.79353	389.89209	1073.18553	0.5	41.93865	0.28917	3.29025	0.27885	0.5	0.5	6.9747	20.08393	0.22708	0.5	37.74	7.34	32.02	58.88	8.97	89.5	52.33	405.96	18.01	1.58	12.42	9.59	66.19	299.82	117.85	206.85	127.01	29.45	126.17	0.5	0.5	3.54	0.5	8.58	0.5	0.5
11528	Bandit_d42_DogFecal	C166_01	42	Complex	Mixed	M	Bandit	DogFecal	Day42	Normal	1	19.00535	7.79353	389.89209	1073.18553	0.5	41.93865	0.28917	3.29025	0.27885	0.5	0.5	6.9747	20.08393	0.22708	0.5	37.74	7.34	32.02	58.88	8.97	89.5	52.33	405.96	18.01	1.58	12.42	9.59	66.19	299.82	117.85	206.85	127.01	29.45	126.17	0.5	0.5	3.54	0.5	8.58	0.5	0.5
11554	Bandit_d42_DogFecal	C166_01	42	Complex	Mixed	M	Bandit	DogFecal	Day42	Normal	1	19.00535	7.79353	389.89209	1073.18553	0.5	41.93865	0.28917	3.29025	0.27885	0.5	0.5	6.9747	20.08393	0.22708	0.5	37.74	7.34	32.02	58.88	8.97	89.5	52.33	405.96	18.01	1.58	12.42	9.59	66.19	299.82	117.85	206.85	127.01	29.45	126.17	0.5	0.5	3.54	0.5	8.58	0.5	0.5
12625	Bazooka_dNA_DogFecal	C166_control_6	Healthy	Healthy	Unknown	Unknown	NABazooka	DogFecal	Healthy	Normal	NA	396.36159	0.5	21.30004	154.573315	1741.236245	98.96813	3.272125	0.5	2.04056	492.500765	0.5	0.29814	5.12787	6.85818	0.20494	0.5	0.5	29.25	7.6	0.5	9.865	12.13	0.5	16.42	0.5	17.52	22.885	19.345	194.16	27.905	37.315	37.7	80.315	26.72	11.02	169.56	10.76	9.785	12.62	0.5	0.5
10814	Bebe_d0_DogFecal	C166_03	0	Diet	Cocker_Spaniel	F	Bebe	DogFecal	Day0	Normal	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10947	Bebe_d0_DogFecal	C166_03	0	Diet	Cocker_Spaniel	F	Bebe	DogFecal	Day0	Normal	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11534	Bebe_d0_DogFecal	C166_03	0	Diet	Cocker_Spaniel	F	Bebe	DogFecal	Day0	Normal	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11555	Bebe_d0_DogFecal	C166_03	0	Diet	Cocker_Spaniel	F	Bebe	DogFecal	Day0	Normal	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
